@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1405,'2018/02/18 22:46:25:930',29,220.378799,339.00061,54.730553,364.099304,354.406281,73.526794,424.100433,365.338654,75.31282,488.003601,367.32074,71.016388,554.954712,353.075806,60.494102,36.96,76.054468
1406,'2018/02/18 22:46:25:980',29,220.420395,339.032837,54.729168,364.246429,354.555206,73.521095,424.245605,365.525818,75.304192,488.110046,367.331024,71.007729,555.064697,353.117035,60.480972,36.96,76.054468
1407,'2018/02/18 22:46:26:031',29,220.534241,339.080383,54.727722,364.343079,354.771545,73.517464,424.167084,365.576294,75.304703,488.174133,367.598633,71.000313,555.232971,353.369873,60.467907,36.96,76.054468
1408,'2018/02/18 22:46:26:077',29,220.477737,339.209747,54.712799,364.256012,354.941101,73.51783,424.168091,365.93927,75.304077,488.023315,367.613739,71.008202,555.207458,353.586792,60.480904,36.96,76.054468
1409,'2018/02/18 22:46:26:130',29,220.431335,339.308533,54.702049,364.203705,355.045532,73.516846,424.1073,366.036255,75.304375,487.970001,367.683319,71.010193,555.169556,353.666077,60.490616,36.96,76.054468
1410,'2018/02/18 22:46:26:183',29,220.724884,341.061676,54.787838,364.261169,355.047089,73.330444,424.570709,366.450439,75.02803,483.794006,368.653381,70.845718,553.606689,354.313934,60.249916,36.96,76.054468
1411,'2018/02/18 22:46:26:238',29,220.573761,341.49231,54.827904,364.236786,355.354187,73.153084,424.431427,366.664185,74.784653,485.716522,369.930573,70.41124,553.178345,355.337555,59.916691,36.96,76.054468
1412,'2018/02/18 22:46:26:282',29,220.416565,341.194122,54.846138,364.325012,355.299561,73.176056,424.255859,366.607178,74.813515,485.925415,369.521057,70.428276,553.225952,355.248962,59.925468,36.96,76.054468
1413,'2018/02/18 22:46:26:331',29,220.473083,340.850464,54.693665,364.979126,356.132202,73.190483,424.947266,367.186371,74.813232,486.372375,369.197083,70.434372,552.860718,355.157776,59.996185,36.96,76.054468
1414,'2018/02/18 22:46:26:382',29,220.472214,340.679993,54.632847,364.539246,355.883728,73.174889,424.55661,366.823364,74.818275,486.568848,369.734375,70.450958,553.784058,355.563049,59.957077,36.96,76.054468
1415,'2018/02/18 22:46:26:430',29,220.368942,340.518005,54.563881,363.930237,355.680908,73.154228,424.011078,366.523499,74.823608,486.205719,369.822327,70.481201,553.890625,355.583374,59.973778,36.96,76.054468
1416,'2018/02/18 22:46:26:480',29,220.118607,340.358154,54.508217,363.356995,355.380371,73.147316,423.401062,366.135376,74.845482,485.863129,369.360901,70.516312,553.685669,355.31955,60.012917,36.96,76.054468
